forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
21.0           0.26575        4.38772        
22.0           0.33917        4.44598        
23.0           0.40525        4.49870        
24.0           0.46473        4.54641        
25.0           0.51826        4.58957        
26.0           0.56643        4.62863        
27.0           0.60979        4.66397        
28.0           0.64881        4.69595        
29.0           0.68393        4.72488        
30.0           0.71554        4.75106        
31.0           0.70232        4.77475        
32.0           0.63375        4.79618        
33.0           0.57038        4.81558        
34.0           0.51334        4.83313        
35.0           0.46200        4.84901        
36.0           0.41580        4.86338        
37.0           0.37422        4.87638        
38.0           0.33680        4.88814        
39.0           0.30312        4.89879        
40.0           0.27281        4.90842        
41.0           0.29553        4.91713        
42.0           0.36598        4.92502        
43.0           0.42938        4.93216        
44.0           0.48644        4.93861        
45.0           0.53780        4.94445        
46.0           0.58402        4.94974        
47.0           0.62561        4.95452        
48.0           0.66305        4.95885        
49.0           0.69675        4.96276        
50.0           0.72707        4.96631        
51.0           0.70437        4.96951        
52.0           0.63393        4.97241        
53.0           0.57054        4.97504        
54.0           0.51348        4.97741        
55.0           0.46213        4.97956        
56.0           0.41592        4.98151        
57.0           0.37433        4.98327        
58.0           0.33690        4.98486        
59.0           0.30321        4.98630        
60.0           0.27289        4.98760        
61.0           0.29560        4.98878        
62.0           0.36604        4.98985        
63.0           0.42943        4.99082        
64.0           0.48649        4.99169        
65.0           0.53784        4.99248        
66.0           0.58406        4.99320        
67.0           0.62565        4.99384        
68.0           0.66309        4.99443        
69.0           0.69678        4.99496        
70.0           0.72710        4.99544        
71.0           0.70439        4.99587        
72.0           0.63395        4.99626        
73.0           0.57056        4.99662        
74.0           0.51350        4.99694        
75.0           0.46215        4.99723        
76.0           0.41594        4.99749        
77.0           0.37434        4.99773        
78.0           0.33691        4.99795        
79.0           0.30322        4.99814        
80.0           0.27290        4.99832        
81.0           0.28727        4.99848        
82.0           0.35688        4.99862        
83.0           0.42119        4.99876        
84.0           0.47907        4.99887        
85.0           0.53116        4.99898        
86.0           0.57805        4.99908        
87.0           0.62024        4.99917        
88.0           0.65822        4.99924        
89.0           0.69240        4.99932        
90.0           0.72316        4.99938        
91.0           0.70917        4.99944        
92.0           0.63992        4.99949        
93.0           0.57593        4.99954        
94.0           0.51834        4.99958        
95.0           0.46650        4.99962        
96.0           0.41985        4.99966        
97.0           0.37787        4.99969        
98.0           0.34008        4.99972        
99.0           0.30607        4.99975        
100.0          0.27547        4.99977        
101.0          0.28959        4.99979        

RK4_RC      deltaT = 0.200000
Time           V1             V2             
0.0            0.00000        0.00000        
0.2            0.00200        0.09901        
0.4            0.00796        0.19605        
0.6            0.01780        0.29118        
0.8            0.03144        0.38442        
1.0            0.04882        0.47581        
1.2            0.06784        0.56540        
1.4            0.08648        0.65321        
1.6            0.10475        0.73928        
1.8            0.12266        0.82365        
2.0            0.14020        0.90635        
2.2            0.15740        0.98741        
2.4            0.17425        1.06686        
2.6            0.19077        1.14474        
2.8            0.20695        1.22108        
3.0            0.22281        1.29591        
3.2            0.23836        1.36925        
3.4            0.25359        1.44115        
3.6            0.26852        1.51162        
3.8            0.28315        1.58069        
4.0            0.29748        1.64840        
4.2            0.31154        1.71477        
4.4            0.32530        1.77982        
4.6            0.33880        1.84358        
4.8            0.35202        1.90608        
5.0            0.36498        1.96735        
5.2            0.37768        2.02740        
5.4            0.39013        2.08626        
5.6            0.40233        2.14395        
5.8            0.41428        2.20051        
6.0            0.42599        2.25594        
6.2            0.43747        2.31028        
6.4            0.44872        2.36354        
6.6            0.45975        2.41574        
6.8            0.47056        2.46692        
7.0            0.48114        2.51707        
7.2            0.49152        2.56624        
7.4            0.50169        2.61443        
7.6            0.51166        2.66167        
7.8            0.52142        2.70797        
8.0            0.53100        2.75336        
8.2            0.54038        2.79784        
8.4            0.54957        2.84145        
8.6            0.55858        2.88419        
8.8            0.56740        2.92609        
9.0            0.57606        2.96715        
9.2            0.58454        3.00740        
9.4            0.59285        3.04686        
9.6            0.60099        3.08554        
9.8            0.60897        3.12344        
10.0           0.61679        3.16060        
10.2           0.62245        3.19703        
10.4           0.62400        3.23273        
10.6           0.62152        3.26772        
10.8           0.61509        3.30202        
11.0           0.60479        3.33564        
11.2           0.59270        3.36860        
11.4           0.58084        3.40090        
11.6           0.56923        3.43257        
11.8           0.55784        3.46361        
12.0           0.54668        3.49403        
12.2           0.53575        3.52385        
12.4           0.52504        3.55308        
12.6           0.51453        3.58173        
12.8           0.50424        3.60981        
13.0           0.49416        3.63734        
13.2           0.48428        3.66432        
13.4           0.47459        3.69077        
13.6           0.46510        3.71670        
13.8           0.45580        3.74211        
14.0           0.44668        3.76701        
14.2           0.43775        3.79143        
14.4           0.42899        3.81536        
14.6           0.42041        3.83882        
14.8           0.41200        3.86181        
15.0           0.40376        3.88435        
15.2           0.39569        3.90644        
15.4           0.38777        3.92809        
15.6           0.38002        3.94932        
15.8           0.37242        3.97012        
16.0           0.36497        3.99052        
16.2           0.35767        4.01051        
16.4           0.35052        4.03010        
16.6           0.34351        4.04930        
16.8           0.33664        4.06813        
17.0           0.32990        4.08658        
17.2           0.32331        4.10467        
17.4           0.31684        4.12240        
17.6           0.31050        4.13978        
17.8           0.30429        4.15681        
18.0           0.29821        4.17351        
18.2           0.29224        4.18987        
18.4           0.28640        4.20591        
18.6           0.28067        4.22164        
18.8           0.27506        4.23705        
19.0           0.26956        4.25216        
19.2           0.26416        4.26697        
19.4           0.25888        4.28148        
19.6           0.25370        4.29571        
19.8           0.24863        4.30965        
20.0           0.24366        4.32332        
20.2           0.23912        4.33672        
20.4           0.23834        4.34986        
20.6           0.24157        4.36273        
20.8           0.24874        4.37535        
21.0           0.25976        4.38772        
21.2           0.27423        4.39984        
21.4           0.28875        4.41173        
21.6           0.30297        4.42337        
21.8           0.31691        4.43479        
22.0           0.33058        4.44598        
22.2           0.34396        4.45695        
22.4           0.35709        4.46771        
22.6           0.36994        4.47825        
22.8           0.38254        4.48858        
23.0           0.39489        4.49871        
23.2           0.40700        4.50863        
23.4           0.41886        4.51836        
23.6           0.43048        4.52790        
23.8           0.44187        4.53725        
24.0           0.45303        4.54641        
24.2           0.46397        4.55539        
24.4           0.47469        4.56420        
24.6           0.48520        4.57283        
24.8           0.49549        4.58128        
25.0           0.50558        4.58957        
25.2           0.51547        4.59770        
25.4           0.52516        4.60567        
25.6           0.53466        4.61348        
25.8           0.54397        4.62113        
26.0           0.55309        4.62863        
26.2           0.56203        4.63599        
26.4           0.57079        4.64319        
26.6           0.57937        4.65026        
26.8           0.58778        4.65718        
27.0           0.59603        4.66397        
27.2           0.60411        4.67063        
27.4           0.61202        4.67715        
27.6           0.61978        4.68354        
27.8           0.62739        4.68981        
28.0           0.63484        4.69595        
28.2           0.64214        4.70197        
28.4           0.64930        4.70787        
28.6           0.65631        4.71366        
28.8           0.66319        4.71933        
29.0           0.66992        4.72488        
29.2           0.67653        4.73033        
29.4           0.68300        4.73567        
29.6           0.68934        4.74090        
29.8           0.69555        4.74603        
30.0           0.70164        4.75106        
30.2           0.70727        4.75599        
30.4           0.70913        4.76082        
30.6           0.70694        4.76556        
30.8           0.70080        4.77020        
31.0           0.69079        4.77475        
31.2           0.67731        4.77921        
31.4           0.66376        4.78358        
31.6           0.65048        4.78787        
31.8           0.63748        4.79207        
32.0           0.62473        4.79619        
32.2           0.61223        4.80022        
32.4           0.59999        4.80418        
32.6           0.58799        4.80805        
32.8           0.57623        4.81186        
33.0           0.56470        4.81558        
33.2           0.55341        4.81923        
33.4           0.54234        4.82281        
33.6           0.53149        4.82632        
33.8           0.52086        4.82976        
34.0           0.51045        4.83313        
34.2           0.50024        4.83644        
34.4           0.49023        4.83967        
34.6           0.48043        4.84285        
34.8           0.47082        4.84596        
35.0           0.46140        4.84901        
35.2           0.45217        4.85200        
35.4           0.44313        4.85493        
35.6           0.43427        4.85780        
35.8           0.42558        4.86062        
36.0           0.41707        4.86338        
36.2           0.40873        4.86608        
36.4           0.40056        4.86874        
36.6           0.39254        4.87134        
36.8           0.38469        4.87388        
37.0           0.37700        4.87638        
37.2           0.36946        4.87883        
37.4           0.36207        4.88123        
37.6           0.35483        4.88358        
37.8           0.34773        4.88588        
38.0           0.34078        4.88814        
38.2           0.33396        4.89036        
38.4           0.32728        4.89253        
38.6           0.32074        4.89466        
38.8           0.31432        4.89674        
39.0           0.30804        4.89879        
39.2           0.30188        4.90079        
39.4           0.29584        4.90276        
39.6           0.28992        4.90468        
39.8           0.28412        4.90657        
40.0           0.27844        4.90842        
40.2           0.27320        4.91023        
40.4           0.27174        4.91201        
40.6           0.27431        4.91375        
40.8           0.28115        4.91546        
41.0           0.29353        4.91714        
41.2           0.30766        4.91878        
41.4           0.32151        4.92038        
41.6           0.33508        4.92196        
41.8           0.34837        4.92351        
42.0           0.36141        4.92502        
42.2           0.37418        4.92651        
42.4           0.38670        4.92796        
42.6           0.39896        4.92939        
42.8           0.41098        4.93079        
43.0           0.42276        4.93216        
43.2           0.43431        4.93350        
43.4           0.44562        4.93482        
43.6           0.45671        4.93611        
43.8           0.46757        4.93737        
44.0           0.47822        4.93861        
44.2           0.48866        4.93983        
44.4           0.49889        4.94102        
44.6           0.50891        4.94219        
44.8           0.51873        4.94333        
45.0           0.52836        4.94445        
45.2           0.53779        4.94555        
45.4           0.54703        4.94663        
45.6           0.55609        4.94769        
45.8           0.56497        4.94872        
46.0           0.57367        4.94974        
46.2           0.58220        4.95074        
46.4           0.59055        4.95171        
46.6           0.59874        4.95267        
46.8           0.60677        4.95360        
47.0           0.61463        4.95452        
47.2           0.62234        4.95542        
47.4           0.62989        4.95631        
47.6           0.63729        4.95717        
47.8           0.64455        4.95802        
48.0           0.65166        4.95885        
48.2           0.65862        4.95966        
48.4           0.66545        4.96046        
48.6           0.67214        4.96125        
48.8           0.67870        4.96201        
49.0           0.68513        4.96277        
49.2           0.69142        4.96350        
49.4           0.69760        4.96422        
49.6           0.70364        4.96493        
49.8           0.70957        4.96563        
50.0           0.71538        4.96631        
50.2           0.71907        4.96697        
50.4           0.71869        4.96763        
50.6           0.71432        4.96827        
50.8           0.70603        4.96890        
51.0           0.69391        4.96951        
51.2           0.68003        4.97011        
51.4           0.66643        4.97071        
51.6           0.65310        4.97129        
51.8           0.64004        4.97186        
52.0           0.62724        4.97241        
52.2           0.61469        4.97296        
52.4           0.60240        4.97349        
52.6           0.59035        4.97402        
52.8           0.57855        4.97453        
53.0           0.56697        4.97504        
53.2           0.55563        4.97553        
53.4           0.54452        4.97602        
53.6           0.53363        4.97649        
53.8           0.52296        4.97696        
54.0           0.51250        4.97741        
54.2           0.50225        4.97786        
54.4           0.49220        4.97830        
54.6           0.48236        4.97873        
54.8           0.47271        4.97915        
55.0           0.46326        4.97956        
55.2           0.45399        4.97997        
55.4           0.44491        4.98036        
55.6           0.43602        4.98075        
55.8           0.42730        4.98113        
56.0           0.41875        4.98151        
56.2           0.41037        4.98187        
56.4           0.40217        4.98223        
56.6           0.39412        4.98258        
56.8           0.38624        4.98293        
57.0           0.37852        4.98327        
57.2           0.37095        4.98360        
57.4           0.36353        4.98392        
57.6           0.35626        4.98424        
57.8           0.34913        4.98455        
58.0           0.34215        4.98486        
58.2           0.33531        4.98516        
58.4           0.32860        4.98545        
58.6           0.32203        4.98574        
58.8           0.31559        4.98602        
59.0           0.30928        4.98630        
59.2           0.30309        4.98657        
59.4           0.29703        4.98684        
59.6           0.29109        4.98710        
59.8           0.28527        4.98735        
60.0           0.27956        4.98760        
60.2           0.27597        4.98785        
60.4           0.27645        4.98809        
60.6           0.28092        4.98833        
60.8           0.28930        4.98856        
61.0           0.30152        4.98878        
61.2           0.31549        4.98901        
61.4           0.32918        4.98922        
61.6           0.34259        4.98944        
61.8           0.35574        4.98965        
62.0           0.36863        4.98985        
62.2           0.38125        4.99005        
62.4           0.39363        4.99025        
62.6           0.40576        4.99044        
62.8           0.41764        4.99063        
63.0           0.42929        4.99082        
63.2           0.44070        4.99100        
63.4           0.45189        4.99118        
63.6           0.46285        4.99135        
63.8           0.47359        4.99152        
64.0           0.48412        4.99169        
64.2           0.49444        4.99186        
64.4           0.50455        4.99202        
64.6           0.51446        4.99217        
64.8           0.52417        4.99233        
65.0           0.53369        4.99248        
65.2           0.54301        4.99263        
65.4           0.55215        4.99278        
65.6           0.56111        4.99292        
65.8           0.56989        4.99306        
66.0           0.57849        4.99320        
66.2           0.58692        4.99333        
66.4           0.59518        4.99346        
66.6           0.60328        4.99359        
66.8           0.61121        4.99372        
67.0           0.61899        4.99384        
67.2           0.62661        4.99397        
67.4           0.63408        4.99409        
67.6           0.64139        4.99420        
67.8           0.64857        4.99432        
68.0           0.65560        4.99443        
68.2           0.66248        4.99454        
68.4           0.66923        4.99465        
68.6           0.67585        4.99475        
68.8           0.68233        4.99486        
69.0           0.68869        4.99496        
69.2           0.69491        4.99506        
69.4           0.70101        4.99516        
69.6           0.70699        4.99525        
69.8           0.71285        4.99535        
70.0           0.71860        4.99544        
70.2           0.72222        4.99553        
70.4           0.72178        4.99561        
70.6           0.71734        4.99570        
70.8           0.70900        4.99579        
71.0           0.69682        4.99587        
71.2           0.68288        4.99595        
71.4           0.66922        4.99603        
71.6           0.65584        4.99611        
71.8           0.64272        4.99619        
72.0           0.62987        4.99626        
72.2           0.61727        4.99634        
72.4           0.60493        4.99641        
72.6           0.59283        4.99648        
72.8           0.58097        4.99655        
73.0           0.56935        4.99662        
73.2           0.55796        4.99668        
73.4           0.54680        4.99675        
73.6           0.53587        4.99681        
73.8           0.52515        4.99688        
74.0           0.51465        4.99694        
74.2           0.50436        4.99700        
74.4           0.49427        4.99706        
74.6           0.48438        4.99712        
74.8           0.47469        4.99717        
75.0           0.46520        4.99723        
75.2           0.45590        4.99729        
75.4           0.44678        4.99734        
75.6           0.43784        4.99739        
75.8           0.42909        4.99744        
76.0           0.42050        4.99749        
76.2           0.41209        4.99754        
76.4           0.40385        4.99759        
76.6           0.39578        4.99764        
76.8           0.38786        4.99769        
77.0           0.38010        4.99773        
77.2           0.37250        4.99778        
77.4           0.36505        4.99782        
77.6           0.35775        4.99786        
77.8           0.35059        4.99791        
78.0           0.34358        4.99795        
78.2           0.33671        4.99799        
78.4           0.32998        4.99803        
78.6           0.32338        4.99807        
78.8           0.31691        4.99811        
79.0           0.31057        4.99814        
79.2           0.30436        4.99818        
79.4           0.29827        4.99822        
79.6           0.29231        4.99825        
79.8           0.28646        4.99829        
80.0           0.28073        4.99832        
80.2           0.27712        4.99835        
80.4           0.27758        4.99839        
80.6           0.28202        4.99842        
80.8           0.29038        4.99845        
81.0           0.30258        4.99848        
81.2           0.31652        4.99851        
81.4           0.33019        4.99854        
81.6           0.34359        4.99857        
81.8           0.35672        4.99860        
82.0           0.36958        4.99862        
82.2           0.38219        4.99865        
82.4           0.39455        4.99868        
82.6           0.40666        4.99870        
82.8           0.41852        4.99873        
83.0           0.43015        4.99876        
83.2           0.44155        4.99878        
83.4           0.45272        4.99880        
83.6           0.46367        4.99883        
83.8           0.47439        4.99885        
84.0           0.48490        4.99887        
84.2           0.49521        4.99890        
84.4           0.50530        4.99892        
84.6           0.51520        4.99894        
84.8           0.52489        4.99896        
85.0           0.53439        4.99898        
85.2           0.54371        4.99900        
85.4           0.55283        4.99902        
85.6           0.56178        4.99904        
85.8           0.57054        4.99906        
86.0           0.57913        4.99908        
86.2           0.58755        4.99910        
86.4           0.59580        4.99911        
86.6           0.60388        4.99913        
86.8           0.61180        4.99915        
87.0           0.61957        4.99917        
87.2           0.62717        4.99918        
87.4           0.63463        4.99920        
87.6           0.64194        4.99921        
87.8           0.64910        4.99923        
88.0           0.65612        4.99924        
88.2           0.66300        4.99926        
88.4           0.66974        4.99927        
88.6           0.67634        4.99929        
88.8           0.68281        4.99930        
89.0           0.68916        4.99932        
89.2           0.69537        4.99933        
89.4           0.70147        4.99934        
89.6           0.70744        4.99935        
89.8           0.71329        4.99937        
90.0           0.71902        4.99938        
90.2           0.72264        4.99939        
90.4           0.72219        4.99940        
90.6           0.71775        4.99941        
90.8           0.70939        4.99943        
91.0           0.69720        4.99944        
91.2           0.68326        4.99945        
91.4           0.66959        4.99946        
91.6           0.65620        4.99947        
91.8           0.64308        4.99948        
92.0           0.63022        4.99949        
92.2           0.61761        4.99950        
92.4           0.60526        4.99951        
92.6           0.59315        4.99952        
92.8           0.58129        4.99953        
93.0           0.56967        4.99954        
93.2           0.55827        4.99955        
93.4           0.54711        4.99956        
93.6           0.53616        4.99956        
93.8           0.52544        4.99957        
94.0           0.51493        4.99958        
94.2           0.50463        4.99959        
94.4           0.49454        4.99960        
94.6           0.48465        4.99961        
94.8           0.47496        4.99961        
95.0           0.46546        4.99962        
95.2           0.45615        4.99963        
95.4           0.44703        4.99964        
95.6           0.43809        4.99964        
95.8           0.42932        4.99965        
96.0           0.42074        4.99966        
96.2           0.41232        4.99966        
96.4           0.40408        4.99967        
96.6           0.39599        4.99968        
96.8           0.38807        4.99968        
97.0           0.38031        4.99969        
97.2           0.37271        4.99970        
97.4           0.36525        4.99970        
97.6           0.35795        4.99971        
97.8           0.35079        4.99971        
98.0           0.34377        4.99972        
98.2           0.33690        4.99973        
98.4           0.33016        4.99973        
98.6           0.32356        4.99974        
98.8           0.31709        4.99974        
99.0           0.31074        4.99975        
99.2           0.30453        4.99975        
99.4           0.29844        4.99976        
99.6           0.29247        4.99976        
99.8           0.28662        4.99977        
100.0          0.28089        4.99977        

RK34_RC      deltaT = 1.000000
Time           Step           V1             V2             
0.0            1.00000        0.00000        0.00000        
1.0            0.02506        0.05000        0.47581        

RK34_RC      deltaT = 0.200000
Time           Step           V1             V2             
0.0            0.20000        0.00000        0.00000        
0.2            0.00862        0.00200        0.09901        

forwardEuler_Test
Time           Result         Groundtruth    Error          
0.00000        1.00000        2.00000        0.00000%
1.00000        5.00000        6.19463        19.28495%
2.00000        11.40216       14.84392       23.18631%
3.00000        25.51321       33.67717       24.24182%
4.00000        56.84931       75.33896       24.54195%
5.00000        126.55478      167.90591      24.62756%

RK4_test
Time           Result         Groundtruth    Error          
0.00000        2.00000        2.00000        0.00000%
1.00000        6.20104        6.19463        0.10341%
2.00000        14.86248       14.84392       0.12505%
3.00000        33.72135       33.67717       0.13118%
4.00000        75.43917       75.33896       0.13301%
5.00000        168.13017      167.90591      0.13356%

RK34_test
Time           Step           Result         Groundtruth    Error          
0.00000        0.00000        2.00000        2.00000        0.00000%
1.00000        0.15537        6.20104        6.19463        0.10341%

