forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
39.4           0.16027        0.13857        
39.6           0.15663        0.13623        
39.8           0.15309        0.13392        
40.0           0.14965        0.13162        
40.2           0.14629        0.12935        
40.4           0.14503        0.12710        
40.6           0.14777        0.12492        
40.8           0.15436        0.12288        
41.0           0.16664        0.12105        
41.2           0.18240        0.11954        
41.4           0.19749        0.11841        
41.6           0.21196        0.11762        
41.8           0.22583        0.11715        
42.0           0.23914        0.11698        
42.2           0.25192        0.11709        
42.4           0.26418        0.11744        
42.6           0.27596        0.11803        
42.8           0.28729        0.11883        
43.0           0.29817        0.11982        
43.2           0.30864        0.12099        
43.4           0.31872        0.12232        
43.6           0.32841        0.12380        
43.8           0.33775        0.12542        
44.0           0.34675        0.12716        
44.2           0.35542        0.12901        
44.4           0.36379        0.13096        
44.6           0.37185        0.13299        
44.8           0.37964        0.13511        
45.0           0.38716        0.13730        
45.2           0.39442        0.13955        
45.4           0.40143        0.14186        
45.6           0.40821        0.14421        
45.8           0.41477        0.14661        
46.0           0.42111        0.14904        
46.2           0.42724        0.15150        
46.4           0.43318        0.15398        
46.6           0.43894        0.15649        
46.8           0.44451        0.15901        
47.0           0.44991        0.16154        
47.2           0.45514        0.16407        
47.4           0.46022        0.16661        
47.6           0.46514        0.16915        
47.8           0.46992        0.17169        
48.0           0.47456        0.17422        
48.2           0.47906        0.17674        
48.4           0.48343        0.17925        
48.6           0.48768        0.18175        
48.8           0.49181        0.18424        
49.0           0.49582        0.18670        
49.2           0.49972        0.18915        
49.4           0.50352        0.19158        
49.6           0.50721        0.19399        
49.8           0.51080        0.19637        
50.0           0.51429        0.19873        
50.2           0.51770        0.20107        
50.4           0.51701        0.20338        
50.6           0.51240        0.20559        
50.8           0.50401        0.20761        
51.0           0.49200        0.20939        
51.2           0.47651        0.21085        
51.4           0.46167        0.21195        
51.6           0.44744        0.21270        
51.8           0.43380        0.21314        
52.0           0.42071        0.21329        
52.2           0.40815        0.21318        
52.4           0.39608        0.21281        
52.6           0.38450        0.21222        
52.8           0.37336        0.21142        
53.0           0.36265        0.21043        
